Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2013T1;-6,1196
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2012T4;3,8201
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2012T3;-3,5364
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2012T2;4,1013
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2012T1;-7,6213
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T4;5,2479
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T3;-4,8113
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T2;5,3779
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T1;-7,5824
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T4;6,9948
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T3;-4,3233
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T2;6,2573
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T1;-7,5168
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T4;6,8766
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T3;-4,2398
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T2;5,5026
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T1;-9,9624
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T4;6,2603
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T3;-5,3602
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T2;6,4816
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T1;-6,1911
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T4;9,4755
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T3;-4,326
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T2;6,4667
